用户id,是否付费,注册至今距离天数,最后一周登陆天数,最后一周登陆次数,最后一周0-8点登陆次数,最后一周8-18点登陆次数,最后一周18-24点登陆次数
665,0,1,2,2,0,1,1
666,0,0,1,1,0,1,0
667,0,4,1,1,0,1,0
668,0,5,3,5,1,2,2
669,1,9,5,17,2,15,0
670,1,0,1,1,1,0,0
671,0,0,1,2,0,2,0
672,0,8,4,18,0,14,4
673,1,7,7,96,20,48,28
674,1,2,3,7,2,2,3
675,0,9,3,19,4,10,5
676,1,3,4,10,1,3,6
677,0,0,1,1,0,1,0
678,0,2,3,16,1,13,2
679,0,7,7,51,15,29,7
680,0,0,1,1,0,1,0
681,1,6,7,19,11,6,2
682,0,1,2,3,1,2,0
683,0,8,4,16,1,15,0
684,0,3,2,5,2,1,2
685,0,1,2,11,0,11,0
686,0,1,1,3,1,1,1
687,0,0,1,5,3,2,0
688,1,6,7,39,1,20,18
689,1,5,6,24,11,6,7
690,1,2,3,10,1,7,2
691,1,0,1,4,1,3,0
692,1,2,3,16,9,5,2
693,1,7,7,25,17,4,4
694,1,7,7,65,12,47,6
695,0,0,1,1,1,0,0
696,0,4,2,10,2,8,0
697,0,5,2,8,1,6,1
698,1,7,7,61,10,36,15
699,1,4,5,27,0,20,7
700,0,2,1,1,0,1,0
701,1,7,7,63,14,33,16
702,0,0,1,1,0,0,1
703,0,0,1,3,0,3,0
704,0,7,7,30,3,14,13
705,0,0,1,1,1,0,0
706,1,1,2,4,1,2,1
707,1,0,1,3,0,0,3
708,1,6,5,24,8,13,3
709,0,0,1,1,0,1,0
710,1,0,1,5,0,3,2
711,0,0,1,5,2,2,1
712,0,1,1,2,1,1,0
713,0,1,2,7,3,0,4
714,0,4,3,7,0,4,3
715,0,0,1,3,0,2,1
716,0,3,1,2,1,1,0
717,0,0,1,1,1,0,0
718,1,6,7,67,30,17,20
719,0,1,1,4,2,2,0
720,0,1,1,1,0,1,0
721,0,7,7,23,4,16,3
722,1,7,7,59,2,38,19
723,1,5,5,20,5,9,6
724,1,1,1,1,0,1,0
725,1,7,7,76,19,39,18
726,0,3,2,3,1,2,0
727,1,6,6,51,8,26,17
728,1,6,6,25,4,17,4
729,0,2,1,1,0,1,0
730,0,3,2,2,1,0,1
731,0,1,1,5,2,3,0
732,1,4,4,23,4,17,2
733,1,7,7,58,5,34,19
734,0,1,1,1,0,1,0
735,1,4,4,26,4,18,4
736,1,7,7,50,9,22,19
737,0,3,3,17,2,12,3
738,1,6,6,25,6,16,3
739,0,7,7,23,8,9,6
740,1,3,3,11,4,6,1
741,0,1,1,2,0,2,0
742,0,7,5,8,1,6,1
743,0,1,1,4,1,3,0
744,1,7,7,83,14,50,19
745,0,3,3,7,3,2,2
746,1,7,7,84,9,53,22
747,1,7,7,65,16,35,14
748,0,2,2,4,0,0,4
749,0,5,2,2,0,2,0
750,0,7,7,40,12,17,11
751,0,7,5,20,6,10,4
752,1,5,5,34,8,19,7
753,0,1,1,2,1,1,0
754,0,1,1,1,1,0,0
755,1,7,7,69,5,43,21
756,0,4,4,8,0,7,1
757,0,3,3,25,5,15,5
758,0,7,6,11,6,3,2
759,0,1,1,1,0,1,0
760,0,1,1,5,0,5,0
761,0,7,6,54,11,32,11
762,0,2,2,3,0,3,0
763,0,6,6,31,7,14,10
764,0,2,2,11,2,5,4
765,0,6,6,42,9,22,11
766,0,1,1,3,3,0,0
767,0,7,7,53,7,28,18
768,0,5,5,21,3,10,8
769,0,7,7,11,2,9,0
770,0,4,4,10,1,6,3
771,0,7,7,30,12,13,5
772,0,7,7,64,6,41,17
773,0,7,7,89,22,49,18
774,0,7,7,75,10,49,16
775,0,1,1,5,0,3,2
776,0,1,1,3,1,2,0
777,0,7,7,85,18,49,18
778,0,2,2,6,4,2,0
779,0,7,7,39,1,30,8
780,0,7,6,12,1,3,8
781,0,1,1,1,0,1,0
782,1,2,2,14,1,12,1
783,1,3,3,5,1,4,0
784,0,1,1,2,1,1,0
785,0,4,4,12,1,8,3
